ep_idx,ep_stem,path_type,frame_t,frame_idx,has_bbox,gt_class,cx,cy,area,grounding_any_success,grounding_n_boxes,grounding_phrases,basket_grounding_success,basket_iou,basket_bbox_str,side_phrases,free_text,mentions_basket,mentions_gray,mentions_corridor,mentions_object,text_len
41,episode_260408_193918_target_center_right_path__core__fixed_center,center_right,17,17,True,FORWARD,0.5625,0.7031,0.33398,True,2,gray basket|a white wall,True,0.948,"[(0.265625, 0.421875, 0.859375, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a grey trash can in front of a white wall",False,True,False,False,69
42,episode_260408_194030_target_center_right_path__core__fixed_center,center_right,1,1,True,FWD+R,0.5,0.3281,0.60547,True,2,gray basket|chair,True,0.0452,"[(0.328125, 0.484375, 0.453125, 0.703125)]",chair,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a window and a fan",False,False,False,False,67
42,episode_260408_194030_target_center_right_path__core__fixed_center,center_right,3,3,True,FWD+R,0.5,0.3438,0.63574,True,2,gray basket|a white wall,True,0.0691,"[(0.359375, 0.453125, 0.515625, 0.734375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a window and a fan",False,False,False,False,67
42,episode_260408_194030_target_center_right_path__core__fixed_center,center_right,4,4,True,FWD+R,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.2879,"[(0.421875, 0.484375, 0.578125, 0.734375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a window",False,False,False,False,68
42,episode_260408_194030_target_center_right_path__core__fixed_center,center_right,6,6,True,FORWARD,0.5,0.3594,0.66602,True,2,gray basket|a white wall,True,0.079,"[(0.453125, 0.484375, 0.640625, 0.796875)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a white wall and a black floor.",False,False,False,False,73
42,episode_260408_194030_target_center_right_path__core__fixed_center,center_right,12,12,True,FWD+L,0.75,0.5,0.05,True,2,gray basket|a white wall,True,0.0,"[(0.296875, 0.453125, 0.609375, 0.953125)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway",False,False,True,False,65
43,episode_260408_194130_target_center_right_path__core__fixed_center,center_right,0,0,True,RIGHT,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.3098,"[(0.421875, 0.484375, 0.578125, 0.703125)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a window",False,False,False,False,68
43,episode_260408_194130_target_center_right_path__core__fixed_center,center_right,2,2,True,FWD+R,0.5,0.5,0.05,True,3,gray basket|a window|white walls,True,0.2937,"[(0.359375, 0.453125, 0.515625, 0.703125)]",a window|white walls,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a window and a fan",False,False,False,False,67
43,episode_260408_194130_target_center_right_path__core__fixed_center,center_right,10,10,True,FWD+L,0.5,0.375,0.69629,True,2,gray basket|a white wall,True,0.1317,"[(0.390625, 0.453125, 0.671875, 0.890625)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway",False,False,True,False,65
43,episode_260408_194130_target_center_right_path__core__fixed_center,center_right,12,12,True,FWD+L,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.2078,"[(0.328125, 0.453125, 0.640625, 0.953125)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a white wall",False,False,False,False,69
43,episode_260408_194130_target_center_right_path__core__fixed_center,center_right,15,15,True,FORWARD,0.4062,0.7031,0.26367,True,2,gray basket|a white wall,True,0.8397,"[(0.171875, 0.421875, 0.640625, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a gray air purifier in a room with a white wall",False,True,False,False,70
44,episode_260408_194334_target_center_right_path__core__fixed_center,center_right,3,3,True,FWD+R,0.5,0.3438,0.63574,True,2,gray basket|a white wall,True,0.0614,"[(0.359375, 0.453125, 0.515625, 0.703125)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a white wall and a blue air conditioner.",False,False,False,False,70
44,episode_260408_194334_target_center_right_path__core__fixed_center,center_right,4,4,True,FWD+R,0.5,0.5,0.05,True,2,gray basket|a window,True,0.3274,"[(0.390625, 0.484375, 0.578125, 0.734375)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a white trash can in a room with a window and a white wall.",False,False,False,False,73
44,episode_260408_194334_target_center_right_path__core__fixed_center,center_right,10,10,True,FWD+L,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.2332,"[(0.328125, 0.453125, 0.578125, 0.890625)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a power outlet.",False,False,False,False,69
44,episode_260408_194334_target_center_right_path__core__fixed_center,center_right,12,12,True,FWD+L,0.5,0.375,0.69629,True,2,gray basket|a white wall,True,0.1419,"[(0.234375, 0.453125, 0.546875, 0.953125)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway with a power cord plugged into it.",False,False,True,False,72
44,episode_260408_194334_target_center_right_path__core__fixed_center,center_right,15,15,True,FORWARD,0.8594,0.5781,0.10938,True,2,gray basket|a white wall,True,0.0,"[(0.078125, 0.421875, 0.609375, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a grey trash can in a room with a white wall and a black and white striped floor.",False,True,False,False,77
45,episode_260408_194433_target_center_right_path__core__fixed_center,center_right,1,1,True,FWD+R,0.5,0.3281,0.60547,True,2,gray basket|wooden chair,True,0.0565,"[(0.296875, 0.484375, 0.453125, 0.703125)]",wooden chair,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a window and a small air conditioner.",False,False,False,False,69
45,episode_260408_194433_target_center_right_path__core__fixed_center,center_right,3,3,True,FWD+R,0.5,0.3438,0.63574,True,2,gray basket|a white wall,True,0.0691,"[(0.359375, 0.453125, 0.515625, 0.734375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a white wall and a white air conditioner",False,False,False,False,70
45,episode_260408_194433_target_center_right_path__core__fixed_center,center_right,4,4,True,FWD+R,0.5,0.5,0.05,True,2,gray basket|a window,True,0.2879,"[(0.390625, 0.484375, 0.546875, 0.734375)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a window",False,False,False,False,68
45,episode_260408_194433_target_center_right_path__core__fixed_center,center_right,12,12,True,FWD+L,0.5,0.3594,0.66602,True,2,gray basket|a white wall,True,0.1231,"[(0.234375, 0.453125, 0.515625, 0.953125)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a power outlet.",False,False,False,False,69
45,episode_260408_194433_target_center_right_path__core__fixed_center,center_right,16,16,True,FORWARD,0.5,0.4219,0.78711,True,2,gray basket|a white wall,True,0.2506,"[(0.015625, 0.421875, 0.546875, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can and a power outlet in a hallway.",False,False,True,False,69
46,episode_260408_194540_target_center_right_path__core__fixed_center,center_right,5,5,True,FWD+R,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.303,"[(0.390625, 0.484375, 0.578125, 0.765625)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a hole in the wall",False,False,False,False,71
46,episode_260408_194540_target_center_right_path__core__fixed_center,center_right,9,9,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.3333,"[(0.390625, 0.453125, 0.609375, 0.859375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a large air conditioner sitting on the floor.",False,False,False,False,70
46,episode_260408_194540_target_center_right_path__core__fixed_center,center_right,11,11,True,FWD+L,0.5,0.8281,0.30273,True,2,gray basket|a white wall,True,0.3136,"[(0.296875, 0.453125, 0.578125, 0.921875)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway with a power cord plugged into it.",False,False,True,False,72
46,episode_260408_194540_target_center_right_path__core__fixed_center,center_right,13,13,True,FWD+L,0.375,0.7031,0.19336,True,2,gray basket|a white wall,True,0.6417,"[(0.203125, 0.421875, 0.546875, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a grey air conditioner in a room with a white wall",False,True,False,False,70
46,episode_260408_194540_target_center_right_path__core__fixed_center,center_right,16,16,True,FORWARD,0.5,0.4219,0.78711,True,2,gray basket|a white wall,True,0.3007,"[(0.046875, 0.421875, 0.640625, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a grey trash can in a room with a white wall and a power outlet.",False,True,False,False,74
47,episode_260408_194632_target_center_right_path__core__fixed_center,center_right,6,6,True,FORWARD,0.5469,0.6406,0.05859,True,2,gray basket|a white wall,True,0.6321,"[(0.453125, 0.484375, 0.640625, 0.796875)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a white wall and a grey air conditioner",False,True,False,False,70
47,episode_260408_194632_target_center_right_path__core__fixed_center,center_right,9,9,True,FORWARD,0.25,0.5,0.05,True,2,gray basket|a white wall,True,0.0,"[(0.390625, 0.453125, 0.609375, 0.859375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room",False,False,False,False,65
47,episode_260408_194632_target_center_right_path__core__fixed_center,center_right,10,10,True,FWD+L,0.75,0.5,0.05,True,2,gray basket|a white wall,True,0.0,"[(0.359375, 0.453125, 0.609375, 0.890625)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway",False,False,True,False,65
47,episode_260408_194632_target_center_right_path__core__fixed_center,center_right,16,16,True,FORWARD,0.5,0.4219,0.78711,True,2,gray basket|a white wall,True,0.2922,"[(0.078125, 0.421875, 0.640625, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway with a power outlet nearby.",False,False,True,False,70
47,episode_260408_194632_target_center_right_path__core__fixed_center,center_right,17,17,True,FORWARD,0.5,0.4062,0.75684,True,2,gray basket|a power cord,True,0.3277,"[(0.015625, 0.390625, 0.703125, 0.984375)]",a power cord,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a power cord plugged into it.",False,False,False,False,72
48,episode_260408_194726_target_center_right_path__core__fixed_center,center_right,2,2,True,FWD+R,0.5,0.3438,0.63574,True,2,gray basket|a window,True,0.0614,"[(0.359375, 0.453125, 0.515625, 0.703125)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a window and a wall.",False,False,False,False,71
48,episode_260408_194726_target_center_right_path__core__fixed_center,center_right,5,5,True,FWD+R,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.2451,"[(0.453125, 0.484375, 0.640625, 0.765625)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a white wall and a window",False,False,False,False,72
48,episode_260408_194726_target_center_right_path__core__fixed_center,center_right,8,8,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.1926,"[(0.453125, 0.484375, 0.671875, 0.828125)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a white wall and a window.",False,False,False,False,72
48,episode_260408_194726_target_center_right_path__core__fixed_center,center_right,13,13,True,FWD+L,0.4844,0.7031,0.17578,True,2,gray basket|a white wall,True,0.5941,"[(0.328125, 0.421875, 0.640625, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a grey air purifier in a room",False,True,False,False,66
48,episode_260408_194726_target_center_right_path__core__fixed_center,center_right,15,15,True,FORWARD,0.5,0.4062,0.75684,True,2,gray basket|A gray basket in front of a white wall,True,0.2386,"[(0.265625, 0.421875, 0.734375, 0.984375), (0.296875, 0.421875, 0.734375, 0.984375)]",,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a grey metal trash can in front of a white wall",False,True,False,False,70
49,episode_260408_195026_target_center_right_path__core__fixed_center,center_right,4,4,True,FWD+R,0.5,0.5,0.05,True,2,gray basket|a window,True,0.3274,"[(0.390625, 0.484375, 0.578125, 0.734375)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a window",False,False,False,False,68
49,episode_260408_195026_target_center_right_path__core__fixed_center,center_right,5,5,True,FWD+R,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.303,"[(0.421875, 0.484375, 0.609375, 0.765625)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a window and a wall",False,False,False,False,71
49,episode_260408_195026_target_center_right_path__core__fixed_center,center_right,7,7,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.2288,"[(0.453125, 0.484375, 0.640625, 0.796875)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a white wall and a black floor.",False,False,False,False,73
49,episode_260408_195026_target_center_right_path__core__fixed_center,center_right,10,10,True,FWD+L,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.2332,"[(0.421875, 0.453125, 0.671875, 0.890625)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway",False,False,True,False,65
49,episode_260408_195026_target_center_right_path__core__fixed_center,center_right,16,16,True,FORWARD,0.4531,0.7031,0.31641,True,2,gray basket|electrical outlet,True,1.0,"[(0.171875, 0.421875, 0.734375, 0.984375)]",electrical outlet,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a grey trash can in front of a white wall",False,True,False,False,69
50,episode_260409_072214_target_left_straight_path__core__fixed_center,left_straight,5,5,True,FORWARD,0.5156,0.5938,0.05273,True,2,gray basket|trash can,True,0.6899,"[(0.421875, 0.453125, 0.609375, 0.734375)]",trash can,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a white wall and a window",False,False,False,False,72
50,episode_260409_072214_target_left_straight_path__core__fixed_center,left_straight,11,11,True,FORWARD,0.5,0.375,0.69629,True,2,gray basket|white wall,True,0.1176,"[(0.421875, 0.453125, 0.671875, 0.890625)]",white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room",False,False,False,False,65
50,episode_260409_072214_target_left_straight_path__core__fixed_center,left_straight,13,13,True,FORWARD,0.5,0.3906,0.72656,True,2,gray basket|white wall,True,0.1584,"[(0.421875, 0.421875, 0.734375, 0.984375)]",white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway",False,False,True,False,65
50,episode_260409_072214_target_left_straight_path__core__fixed_center,left_straight,16,16,True,FORWARD,0.0625,0.4375,0.0498,True,2,gray basket|a white wall,True,0.0,"[(0.390625, 0.421875, 0.953125, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a grey trash can in front of a white wall.",False,True,False,False,69
50,episode_260409_072214_target_left_straight_path__core__fixed_center,left_straight,17,17,True,FORWARD,0.25,0.5,0.05,True,2,gray basket|trash can,True,0.0,"[(0.390625, 0.359375, 0.984375, 0.984375)]",trash can,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway",False,False,True,False,65
51,episode_260409_072407_target_left_straight_path__core__fixed_center,left_straight,1,1,True,FORWARD,0.5469,0.5781,0.03125,True,2,gray basket|trash can,True,0.5469,"[(0.484375, 0.453125, 0.609375, 0.703125)]",trash can,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a window",False,False,False,False,68
51,episode_260409_072407_target_left_straight_path__core__fixed_center,left_straight,2,2,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|trash can,True,0.3858,"[(0.453125, 0.453125, 0.609375, 0.703125)]",trash can,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a window",False,False,False,False,68
51,episode_260409_072407_target_left_straight_path__core__fixed_center,left_straight,6,6,True,FORWARD,0.5469,0.6406,0.05859,True,2,gray basket|a white trash can,True,0.6321,"[(0.453125, 0.484375, 0.640625, 0.796875)]",a white trash can,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a white wall and a tiled floor.",False,False,False,False,73
51,episode_260409_072407_target_left_straight_path__core__fixed_center,left_straight,8,8,True,FORWARD,0.5,0.375,0.69629,True,2,gray basket|a white wall,True,0.1053,"[(0.453125, 0.453125, 0.671875, 0.828125)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room",False,False,False,False,65
51,episode_260409_072407_target_left_straight_path__core__fixed_center,left_straight,17,17,True,FORWARD,0.5,0.2188,0.33301,True,2,gray basket|A gray basket with white plastic handles,True,0.2724,"[(0.015625, 0.046875, 0.984375, 0.984375), (0.015625, 0.671875, 0.984375, 0.984375)]",,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of the top of a washing machine",False,False,False,False,65
52,episode_260409_072507_target_left_straight_path__core__fixed_center,left_straight,1,1,True,FORWARD,0.5,0.5,0.05,True,3,gray basket|a white trash can|white walls,True,0.2594,"[(0.484375, 0.484375, 0.609375, 0.703125)]",a white trash can|white walls,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a window",False,False,False,False,68
52,episode_260409_072507_target_left_straight_path__core__fixed_center,left_straight,2,2,True,FORWARD,0.5625,0.5781,0.03906,True,2,gray basket|trash can,True,0.6537,"[(0.484375, 0.453125, 0.640625, 0.703125)]",trash can,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a trash can in the corner",False,False,False,False,68
52,episode_260409_072507_target_left_straight_path__core__fixed_center,left_straight,5,5,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|trash can,True,0.2451,"[(0.484375, 0.453125, 0.671875, 0.734375)]",trash can,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a white wall and a window.",False,False,False,False,72
52,episode_260409_072507_target_left_straight_path__core__fixed_center,left_straight,9,9,True,FORWARD,0.25,0.5,0.05,True,2,gray basket|air conditioner,True,0.0,"[(0.484375, 0.453125, 0.734375, 0.828125)]",air conditioner,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room",False,False,False,False,65
52,episode_260409_072507_target_left_straight_path__core__fixed_center,left_straight,15,15,True,FORWARD,0.5,0.4219,0.78711,True,3,gray basket|Gray metal trash can|white wall,True,0.262,"[(0.359375, 0.421875, 0.859375, 0.984375)]",Gray metal trash can|white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in front of a white wall",False,False,False,False,68
53,episode_260409_072932_target_left_straight_path__core__fixed_center,left_straight,4,4,True,FORWARD,0.5469,0.5938,0.05273,True,2,gray basket|trash can,True,0.6899,"[(0.453125, 0.453125, 0.640625, 0.734375)]",trash can,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a white wall and a window",False,False,False,False,72
53,episode_260409_072932_target_left_straight_path__core__fixed_center,left_straight,6,6,True,FORWARD,0.5469,0.6406,0.05859,True,2,gray basket|a white wall,True,0.6321,"[(0.453125, 0.484375, 0.640625, 0.796875)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room",False,False,False,False,65
53,episode_260409_072932_target_left_straight_path__core__fixed_center,left_straight,7,7,True,FORWARD,0.25,0.5,0.05,True,2,gray basket|a white wall,True,0.0,"[(0.453125, 0.484375, 0.671875, 0.796875)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a white wall and a window",False,False,False,False,72
53,episode_260409_072932_target_left_straight_path__core__fixed_center,left_straight,8,8,True,FORWARD,0.5,0.3594,0.66602,True,2,gray basket|a black air conditioner,True,0.1012,"[(0.453125, 0.453125, 0.671875, 0.828125)]",a black air conditioner,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room",False,False,False,False,65
53,episode_260409_072932_target_left_straight_path__core__fixed_center,left_straight,10,10,True,FORWARD,0.5,0.3906,0.72656,True,2,gray basket|a white wall,True,0.1369,"[(0.390625, 0.453125, 0.671875, 0.890625)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway",False,False,True,False,65
54,episode_260409_114531_target_left_straight_path__core__fixed_center,left_straight,2,2,True,FORWARD,0.5625,0.5781,0.03906,True,2,gray basket|trash can,True,0.6537,"[(0.484375, 0.453125, 0.640625, 0.703125)]",trash can,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a white wall and a window",False,False,False,False,72
54,episode_260409_114531_target_left_straight_path__core__fixed_center,left_straight,6,6,True,FORWARD,0.25,0.5,0.05,True,2,gray basket|black trash can,True,0.0,"[(0.515625, 0.453125, 0.703125, 0.796875)]",black trash can,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room",False,False,False,False,65
54,episode_260409_114531_target_left_straight_path__core__fixed_center,left_straight,8,8,True,FORWARD,0.25,0.5,0.05,True,2,gray basket|black trash can,True,0.0,"[(0.484375, 0.453125, 0.734375, 0.828125)]",black trash can,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway",False,False,True,False,65
54,episode_260409_114531_target_left_straight_path__core__fixed_center,left_straight,10,10,True,FORWARD,0.5,0.375,0.69629,True,2,gray basket|<patch_index_431><patch_index_952>,True,0.1302,"[(0.484375, 0.453125, 0.765625, 0.921875)]",<patch_index_431><patch_index_952>,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a hallway",False,False,True,False,65
